"Biomarkers for left hand group from scores plot","VIP","Name"
"TLCD1",2.33417022606052,"TLCD1"
"TLCD2",1.95653442130594,"TLCD2"
"TM2D2",2.09482676348515,"TM2D2"
"TMEM136",2.43261077513067,"TMEM136"
"TMEM184B",2.18781565969771,"TMEM184B"
"TMEM51",2.43042177790908,"TMEM51"
"TMEM54",2.37142058173169,"TMEM54"
"TMEM64",2.04253093588,"TMEM64"
"TMEM9",2.16477068849549,"TMEM9"
"TMTC3",2.46472784522379,"TMTC3"
"TNFAIP1",2.01275618706417,"TNFAIP1"
"TNFRSF12A",2.62588201482479,"TNFRSF12A"
"TNFRSF21",2.20993852278263,"TNFRSF21"
"TNKS1BP1",2.26681749648205,"TNKS1BP1"
"TNS2",2.25411190404663,"TNS2"
"TOMM34",2.01591211297181,"TOMM34"
"TPBG",2.11031618834434,"TPBG"
"TPD52L1",2.01603526866884,"TPD52L1"
"TPM1",2.4576268795084,"TPM1"
"TPST1",2.35138160309734,"TPST1"
"TRIM16",2.12023906517543,"TRIM16"
"TSEN34",2.04619325791575,"TSEN34"
"TSPAN17",2.22308801257738,"TSPAN17"
"TSPAN4",2.61283802910559,"TSPAN4"
"TSPAN6",2.91968690162744,"TSPAN6"
"TST",1.88606190403326,"TST"
"TTPAL",2.00448873339741,"TTPAL"
"TUFT1",1.95077087095521,"TUFT1"
"TULP3",2.14988462706791,"TULP3"
"TUSC1",2.00683226118535,"TUSC1"
"TWSG1",1.91460232571398,"TWSG1"
"tyramine",2.41318861031221,"tyramine"
"UBE2E2",1.93710876116567,"UBE2E2"
"UBTD1",2.6611501838783,"UBTD1"
"UEVLD",2.08049273490771,"UEVLD"
"UNC13B",1.96065935959129,"UNC13B"
"uracil",2.14950916024118,"uracil"
"uridine",1.96978990730449,"uridine"
"USP46.AS1",2.1415644953225,"USP46-AS1"
"valine",2.17437929324973,"valine"
"VAMP3",2.31753403637477,"VAMP3"
"VASN",2.6504723524297,"VASN"
"VAV2",2.67750682344098,"VAV2"
"VCL",2.33883260308353,"VCL"
"VMP1",1.93098767425552,"VMP1"
"VPS37D",2.08200582945304,"VPS37D"
"VPS52",1.90443100065092,"VPS52"
"VPS53",2.1351253897293,"VPS53"
"WDR38",1.91951196148874,"WDR38"
"WDR45B",2.0881885053843,"WDR45B"
"WNT9A",2.11555379314445,"WNT9A"
"YAP1",2.80537230820747,"YAP1"
"YIF1A",2.15224829936923,"YIF1A"
"YPEL5",2.05577778311559,"YPEL5"
"ZBTB4",2.20579716719957,"ZBTB4"
"ZC2HC1A",2.07093993221749,"ZC2HC1A"
"ZDHHC7",2.28147109505519,"ZDHHC7"
"ZFYVE21",1.9852666242708,"ZFYVE21"
"ZNF112",2.1097803667416,"ZNF112"
"ZNF185",1.9949836880101,"ZNF185"
"ZNF239",2.2044681700791,"ZNF239"
"ZNF532",2.63595778398837,"ZNF532"
"ZNF703",2.52620174527862,"ZNF703"
"ZNRF3",2.25524697862545,"ZNRF3"
"ZZZ3",1.89017231179934,"ZZZ3"
