"Biomarkers for right hand group from scores plot","VIP","Name"
"RBBP5",2.08389974973927,"RBBP5"
"RBL1",2.28879000655651,"RBL1"
"RBX1",2.07753334190571,"RBX1"
"RCBTB2",2.10732846166912,"RCBTB2"
"RCC2",2.07650459260613,"RCC2"
"RCSD1",2.29574102724187,"RCSD1"
"RECQL",2.07060324817721,"RECQL"
"RFC4",2.18303548901807,"RFC4"
"RFWD3",2.29600247956116,"RFWD3"
"RGL4",2.10470322518319,"RGL4"
"RHOG",2.23438654418242,"RHOG"
"RHOH",2.1864597985296,"RHOH"
"RLTPR",1.88906124913634,"RLTPR"
"RNF113A",1.90303499582305,"RNF113A"
"RORB",2.08008465786249,"RORB"
"RPIA",2.07883689334041,"RPIA"
"RPS7",1.9640045317295,"RPS7"
"RSRC2",2.19014448429194,"RSRC2"
"SACM1L",2.63284451054202,"SACM1L"
"SAMSN1",2.21697766608569,"SAMSN1"
"SART3",2.19332208272834,"SART3"
"SASH3",1.92510672112655,"SASH3"
"SELPLG",2.09032720451837,"SELPLG"
"SEPT1",2.18240145027199,"SEPT1"
"SEPT6",2.33347371686161,"SEPT6"
"SF3A2",1.94785873609475,"SF3A2"
"SF3A3",1.90852097071202,"SF3A3"
"SFI1",1.97800490460809,"SFI1"
"SH2D3C",2.52061356341259,"SH2D3C"
"SH3BGRL",2.03034814709503,"SH3BGRL"
"SHPRH",1.93792442894713,"SHPRH"
"SKA1",2.25645656235205,"SKA1"
"SLA",2.2503699493139,"SLA"
"SLC10A7",2.06299973203702,"SLC10A7"
"SLC1A4",2.02320350538786,"SLC1A4"
"SLC25A40",1.93560524468539,"SLC25A40"
"SLC38A5",1.94500157527779,"SLC38A5"
"SLC43A3",1.92013428543363,"SLC43A3"
"SLC7A3",1.9347792727627,"SLC7A3"
"SLTM",2.13391555938096,"SLTM"
"SMAP2",2.02851587859609,"SMAP2"
"SNORA52",2.09742894810108,"SNORA52"
"SNRK",2.13870184491347,"SNRK"
"SNRPG",1.93981467692791,"SNRPG"
"SPC25",2.06277210641305,"SPC25"
"SPNS3",2.0633630982641,"SPNS3"
"SRBD1",1.91452585717796,"SRBD1"
"SRGN",1.92627786634675,"SRGN"
"SRP9",2.67891897492259,"SRP9"
"ST8SIA4",1.9150351627189,"ST8SIA4"
"STAP1",1.93531253981332,"STAP1"
"STAT5A",1.91292027578653,"STAT5A"
"STAT5B",1.94706308278343,"STAT5B"
"STK26",2.14234243493496,"STK26"
"SUMO4",1.90272136975015,"SUMO4"
"SUV39H1",1.9142127442892,"SUV39H1"
"SUZ12",1.99314844156428,"SUZ12"
"SYNRG",2.06898403201005,"SYNRG"
"TADA2A",2.21665054852733,"TADA2A"
"TAF4B",2.01273308338136,"TAF4B"
"TAGAP",2.09055764563939,"TAGAP"
"taurine",2.33222599123069,"taurine"
"TBC1D10B",1.99313713658006,"TBC1D10B"
"TBC1D10C",2.31222807978859,"TBC1D10C"
"TBCA",1.95623953376436,"TBCA"
"TERF2IP",2.11265124683683,"TERF2IP"
"THUMPD1",1.9493577143312,"THUMPD1"
"TLR9",1.88824081646513,"TLR9"
"TM6SF1",2.24976011909151,"TM6SF1"
"TMC8",2.40966149399542,"TMC8"
"TMEM71",1.91726114763006,"TMEM71"
"TNFAIP3",2.27472625469945,"TNFAIP3"
"TNFAIP8",2.02229400511443,"TNFAIP8"
"TNFRSF14",2.02695065083031,"TNFRSF14"
"TNFRSF8",1.94620966295001,"TNFRSF8"
"TOP2A",2.10161674942072,"TOP2A"
"TOP2B",2.23080339759595,"TOP2B"
"TOPBP1",1.92487959542078,"TOPBP1"
"TPP2",2.08535948602008,"TPP2"
"TRAF3IP3",2.16590154928015,"TRAF3IP3"
"TRANK1",1.99299222847757,"TRANK1"
"TRBC1",2.04517042728385,"TRBC1"
"USP20",2.22055171410053,"USP20"
"UXT",2.30160137382403,"UXT"
"VAV1",2.07163411606108,"VAV1"
"VRK1",1.96714074673233,"VRK1"
"WAS",2.87976136018777,"WAS"
"WWOX",1.97405390901962,"WWOX"
"YEATS4",2.23845756427759,"YEATS4"
"ZEB1.AS1",1.97610682231474,"ZEB1-AS1"
"ZNF101",2.22401170074022,"ZNF101"
"ZNF184",2.40716722140307,"ZNF184"
"ZNF195",1.96516614245353,"ZNF195"
"ZNF200",2.03655367612975,"ZNF200"
"ZNF22",2.19853959713966,"ZNF22"
"ZNF266",2.25000829843924,"ZNF266"
"ZNF267",2.24070219529761,"ZNF267"
"ZNF275",1.97149423287631,"ZNF275"
"ZNHIT3",1.93600239432067,"ZNHIT3"
"ZSCAN16.AS1",2.00713767699933,"ZSCAN16-AS1"
